iter	Passed	Remaining
936	8012	538
937	8017	529
938	8025	521
939	8030	512
940	8041	504
941	8053	495
942	8060	487
943	8085	479
944	8090	470
945	8099	462
946	8105	453
947	8227	451
948	8231	442
949	8237	433
950	8243	424
951	8249	415
952	8254	407
953	8260	398
954	8267	389
955	8275	380
956	8281	372
957	8288	363
958	8294	354
959	8300	345
960	8305	337
961	8310	328
962	8315	319
963	8320	310
964	8327	302
965	8334	293
966	8339	284
967	8347	275
968	8352	267
969	8359	258
970	8364	249
971	8369	241
972	8374	232
973	8383	223
974	8388	215
975	8393	206
976	8402	197
977	8406	189
978	8412	180
979	8418	171
980	8424	163
981	8429	154
982	8435	145
983	8442	137
984	8449	128
985	8454	120
986	8461	111
987	8465	102
988	8473	94
989	8479	85
990	8485	77
991	8492	68
992	8497	59
993	8502	51
994	8507	42
995	8511	34
996	8516	25
997	8525	17
998	8532	8
999	8544	0
